Dierenzoeker,,,,KENMERK,lijkt op,leefgebied,seizoen,grootte,kleur,patroon,vorm,huid,ogen,spriet,bek,aantal poten,soort poten,vleugels,achterlijf,gedrag,BEGINLETTER,naam SCI,naam NL,thumbnail,illustratie soortpagina
214,Lugubere glijer,,,melkwitte platworm;achtogige bloedegel;gewone regenworm;platte clepsine; paardenbloedzuiger,worm;kriebeldier,bij of in het water,winter;lente;zomer;herfst,euro,bruin;grijs,effen,dik;dun;lang;plat,glad;naakt;glibberig,ogen zonder pupil;geen zichtbare ogen,geen,geen zichtbare bek;mond,0,geen,geen,puntig;afgerond,kruipt; zwemt,L; G,Dugesia lugubris,Lugubere glijer,http://images.ncbnaturalis.nl/80x80/203298.jpg,http://images.ncbnaturalis.nl/280x190/203299.jpg
215,Melkwitte platworm,,,lugubere glijer;achtogige bloedegel;gewone regenworm; platte clepsine; paardenbloedzuiger,worm;kriebeldier,bij of in het water,winter;lente;zomer;herfst,euro;huissleutel,wit;doorzichtig; bruin;geel,effen,dik;dun;lang;plat,glad;naakt;glibberig,ogen zonder pupil;geen zichtbare ogen,geen,geen zichtbare bek;mond,0,geen,geen,puntig,kruipt; zwemt,M; P,Dendrocoelum lacteum,Melkwitte platworm,http://images.ncbnaturalis.nl/80x80/203300.jpg,http://images.ncbnaturalis.nl/280x190/203301.jpg
216,Paardenbloedzuiger,,,platte clepsine;achtogige bloedegel;melkwitte platworm;lugubere glijer; gewone regenworm,worm;kriebeldier,bij of in het water,winter;lente;zomer;herfst,euro;fietssleutel,bruin;groen;zwart,effen;gestreept,dun;dik;lang;plat;uit segmenten,glad;naakt;glibberig,geen ogen zichtbaar,niks,mond;geen zichtbare mond,0,geen poten,geen,puntig;afgerond,zwemt; kruipt; lijkt dood,P; B,Haemopis sanguisuga,Paardenbloedzuiger,http://images.ncbnaturalis.nl/80x80/203304.jpg,http://images.ncbnaturalis.nl/280x190/203305.jpg
217,Platte clepsine,,,achtogige bloedegel;paardenbloedzuiger;melkwitte platworm;lugubere glijer,worm;kriebeldier,bij of in het water,winter;lente;zomer;herfst,euro;huissleutel,bruin;groen;geel,gestreept; gevlekt,dun;dik;lang;plat;uit segmenten,glad;naakt;glibberig,geen ogen zichtbaar,niks,mond;geen zichtbare mond,0,geen poten,geen,puntig,zwemt; kruipt; lijkt dood,P; C,Glossiphonia complanata,Platte clepsine,http://images.ncbnaturalis.nl/80x80/203308.jpg,http://images.ncbnaturalis.nl/280x190/203309.jpg
218,Haft,,,groene gaasvlieg;bruine gaasvlieg;elzenvlieg;houtpantserjuffer,kriebeldier;vlieg,op een muur;op de grond,lente;zomer,euro,bruin;groen,effen,uit segmenten;twee delen;drie delen;lang;dun,glad;naakt,insectenogen,korte sprieten,geen zichtbare mond,6,lang en dun;met haakjes,doorzichtige vleugels,drie draden,vliegt; zit; ,H,Caenis robusta,Haft,,http://images.ncbnaturalis.nl/280x190/203273.jpg
219,Steenvlieglarve,,,haftelarve;elzenvlieglarve;waterjufferlarve;tuimelaarlarve,kriebeldier,bij of in het water,winter;lente;zomer;herfst,euro,bruin,effen;gevlekt,lang;dun; uit segmenten,glad;naakt,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,geen;doorzichtig,twee draden,kruipt; zwemt; schuilt,S; V,Nemoura cinerea,Steenvlieglarve,http://images.ncbnaturalis.nl/80x80/203322.jpg,http://images.ncbnaturalis.nl/280x190/203323.jpg
220,Gevlekte Amerikaanse rivierkreeft,,,Geknobbelde Amerikanse rivierkreeft;rode Amerikaanse rivierkreeft,kriebeldier,bij of in het water; op de grond,winter;lente;zomer;herfst,muis,bruin; grijs; rood; oranje,effen;gevlekt,uit segmenten;twee delen;drie delen; lang,glad;ruw; glanzend,ogen zonder pupil;ogen op steeltjes,lange sprieten;draden,mond,8;10;>10,met haakjes;lang en dun;scharen,geen,afgerond; staart kort,loopt; kruipt; zwemt; schuilt,G; A; R; K,Orconectes limosus,Gevlekte Amerikaanse rivierkreeft,http://images.ncbnaturalis.nl/80x80/207490.jpg,
221,Geknobbelde Amerikaanse rivierkreeft,,,Gevlekte Amerikaanse rivierkreeft;rode Amerikaanse rivierkreeft,kriebeldier,bij of in het water; op de grond,winter;lente;zomer;herfst,muis,bruin;zwart; blauw; grijs,effen; gevlekt,uit segmenten;twee delen;drie delen; lang,glad;ruw; glanzend,ogen zonder pupil;ogen op steeltjes,lange sprieten;draden,mond,8;10;>10,met haakjes;lang en dun;scharen,geen,afgerond; staart kort,loopt; kruipt; zwemt; schuilt,G; A; R; K,Orconectes virilis,Geknobbelde Amerikaanse rivierkreeft,http://images.ncbnaturalis.nl/80x80/207488.jpg,
222,Rode Amerikaanse rivierkreeft,,,Gevlekte Amerikaanse rivierkreeft;geknobbelde Amerikaanse rivierkreeft,kriebeldier,bij of in het water; op de grond,winter;lente;zomer;herfst,muis,rood; zwart; blauw; oranje,effen;gevlekt,uit segmenten;twee delen;drie delen; lang,glad;ruw; glanzend,ogen zonder pupil;ogen op steeltjes,lange sprieten;draden,mond,8;10;>10,met haakjes;lang en dun;scharen,geen,afgerond; staart kort,loopt; kruipt; zwemt; schuilt,R; A; K,Procambarus clarkii,Rode Amerikaanse rivierkreeft,http://images.ncbnaturalis.nl/80x80/207496.jpg,
223,Haft - larve,,,steenvlieglarve;elzenvlieglarve;waterjufferlarve; haft larve (C. dipterum),kriebeldier,bij of in het water,winter;lente;zomer;herfst,euro,bruin;zwart;geel,effen,lang;dun;uit segmenten;plat,glad;naakt,insectenogen,lange sprieten,mond;geen zichtbare bek,6,met haakjes;lang en dun,geen,drie draden,kruipt; zwemt; schuilt,H,Caenis robusta,Haft - larve,http://images.ncbnaturalis.nl/80x80/203272.jpg,
224,Haft - larve,,,steenvlieglarve;elzenvlieglarve;waterjufferlarve; haft lavre (C. robusta),kriebeldier,bij of in het water,winter;lente;zomer;herfst,euro,bruin;zwart;geel,effen,lang;dun;uit segmenten;plat,glad;naakt,insectenogen,lange sprieten,mond;geen zichtbare bek,6,met haakjes;lang en dun,geen,drie draden,kruipt; zwemt; schuilt,H,Cloeon dipterum,Haft - larve,http://images.ncbnaturalis.nl/80x80/215327.jpg,
225,Gegroefde watertorlarve,,,tuimelaarlarve;geelgerande waterroofkeverlarve;spinnende watertorlarve,kriebeldier; kever,bij of in het water,winter;lente;zomer;herfst,euro;huissleutel,bruin;geel,effen;gestreept,lang;dun;uit segmenten,glad;naakt,insectenogen,korte sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,geen,puntig,zwemt,G; W; L,Acilius sulcatus,Gegroefde watertorlarve,http://images.ncbnaturalis.nl/80x80/215297.jpg,
226,Tuimelaarlarve,,larve,gegroefde watertorlarve;geelgerande waterroofkeverlarve;spinnende watertorlarve,kriebeldier; kever,bij of in het water,winter;lente;zomer;herfst,euro,bruin,effen;gevlekt,lang;dun;uit segmenten,glad;naakt,insectenogen,korte sprieten,twee kaken,6,met haakjes;lang en dun,geen,puntig,zwemt,T,Cybister lateralimarginalis,Tuimelaarlarve,http://images.ncbnaturalis.nl/80x80/215329.jpg,
227,Geelgerande waterroofkeverlarve,,,tuimelaarlarve;gegroefde watertorlarve;spinnende watertorlarve,kriebeldier; kever,bij of in het water,winter;lente;zomer;herfst,huissleutel,bruin,effen;gevlekt,lang;dun;uit segmenten,glad;naakt,insectenogen,korte sprieten,twee kaken,6,met haakjes;lang en dun,geen,puntig;twee draden,zwemt,G; W; R; K,Dytiscus marginalis,Geelgerande waterroofkeverlarve,http://images.ncbnaturalis.nl/80x80/215331.jpg,
228,Schrijvertje,,,eironde watertor;haagse hopjeskever;gewone snelzwemmer;pieptor,kriebeldier;kever,bij of in het water;in de lucht,,mier;pinda,zwart;geel,effen;gestreept,rond;uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,korte sprieten;geen,twee kaken;geen zichtbare bek,6,lang en dun;behaard,schilden;doorzichtige vleugels;geen,afgerond,zwemt,S,Gyrinus marinus,Schrijvertje,,
229,Spinnende watertorlarve,,,gegroefde watertorlarve;geelgerande waterroofkeverlarve;tuimelaarlarve,kriebeldier,bij of in het water,winter;lente;zomer;herfst,huissleutel,bruin,gevlekt;effen,lang;dun;uit segmenten,glad;naakt,insectenogen,korte sprieten;geen,twee kaken,6,met haakjes;lang en dun,geen,puntig,zwemt,S; W; T,Hydrophilus piceus,Spinnende watertorlarve,http://images.ncbnaturalis.nl/80x80/215333.jpg,
230,Springkever,,,Haagse hopjeskever; pieptor;eironde watertor,kriebeldier;kever,bij of in het water;in de lucht,,mier;pinda,bruin;geel,gevlekt;gestreept,rond;uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,korte sprieten;geen,twee kaken;geen zichtbare bek,6,lang en dun;behaard,schilden;doorzichtige vleugels;geen,afgerond,zwemt,S; K,Laccophilus minutus,Springkever,,
231,Bosmestkever,,,meikever;doodgraver;rozenkevertje;zwarte berkenbladroller,kever;kriebeldier,in de grond;tussen bladeren;op de grond;in de lucht,lente;zomer;herfst,euro,zwart;blauw,effen,rond;uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,korte sprieten,twee kaken,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; graaft;zit stil,B; M; K,Geotrupes stercorosus,Bosmestkever,http://images.ncbnaturalis.nl/80x80/206354.jpg,http://images.ncbnaturalis.nl/280x190/206355.jpg
232,Doodgraver,,,stinkende kortschild;tuinschallebijter;lapsnuittor;kniptor;gewone kortnek,kever;kriebeldier,op de grond;in de grond,winter;lente;zomer;herfst,euro,zwart;oranje,gevlekt,uit segmenten;twee delen;drie delen,glad;met haren,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond;puntig,loopt; kruipt; vliegt; graaft,D,Necrophorus vespillo,Doodgraver,http://images.ncbnaturalis.nl/80x80/206357.jpg,http://images.ncbnaturalis.nl/280x190/206358.jpg
233,Glansloopkever,,,groene struiksnuittor;schildpadkever;groene stinkwants;zuringhaantje,kever;kriebeldier,op de grond;,winter;lente;zomer;herfst,pinda,zwart;groen,effen,rond;uit segmenten;twee delen;drie delen,glad;met haren,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt,G; L,Amara eurynota,Glansloopkever,http://images.ncbnaturalis.nl/80x80/206363.jpg,http://images.ncbnaturalis.nl/280x190/206364.jpg
234,Kniptor,,,soldaatje;gewone kortnek;basterdweekschild;schijnbok,kever;kriebeldier,op plant;in een boom;tussen bladeren;op de grond;in struik;schuilplek;in de lucht,lente;zomer,mier;pinda;euro,bruin;zwart;grijs;rood,effen,uit segmenten;twee delen;drie delen,glad; met haren,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond;puntig,loopt; vliegt; kruipt; springt,K,Athous haemorrhoidalis,Kniptor,http://images.ncbnaturalis.nl/80x80/206369.jpg,http://images.ncbnaturalis.nl/280x190/206370.jpg
235,Gegroefde lapsnuitkever,,,groene struiksnuittor;zuringwants;,kever;kriebeldier,op plant;in struik,winter;lente;zomer;herfst,mier;pinda,zwart;bruin,effen;gevlekt,uit segmenten;twee delen;drie delen,glad,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt,L; S,Otiorhynchus sulcatus,Gegroefde lapsnuitkever,http://images.ncbnaturalis.nl/80x80/206374.jpg,http://images.ncbnaturalis.nl/280x190/206375.jpg
236,Leliehaantje,,,Veelkleurig Aziatisch lieveheersbeestje;zevenstippelig lieveheersbeestje;rozenkevertje;zuringhaantje,kever;kriebeldier,op plant,lente,pinda,rood;zwart,effen,uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt,L; H,Lilioceris lilii,Leliehaantje,http://images.ncbnaturalis.nl/80x80/206376.jpg,http://images.ncbnaturalis.nl/280x190/206377.jpg
237,Meikever,,,rozenkevertje;veelkleurig aziatisch lieveheersbeestje;soldaatje;bessenwants,kever;kriebeldier,in een boom;op de grond;in struik,lente;zomer,huissleutel,rood;bruin;zwart;wit,effen,uit segmenten;twee delen;drie delen,glad;met haren,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond;puntig,loopt; kruipt; vliegt,M; K,Melolontha melolontha ,Meikever,http://images.ncbnaturalis.nl/80x80/212132.jpg,http://images.ncbnaturalis.nl/280x190/212133.jpg
238,Rozenkevertje,,,meikever;bosmestkever;basterdweekschildkever;leliehaantje;bessenwants,kever;kriebeldier,in een boom;op de grond;in struik;in de lucht,zomer,pinda,zwart;rood,effen,uit segmenten;twee delen;drie delen,glad;met haren,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt,R; K,Phyllopertha horticola,Rozenkevertje,http://images.ncbnaturalis.nl/80x80/206384.jpg,http://images.ncbnaturalis.nl/280x190/206385.jpg
239,Stinkende kortschildkever,,,gewone oorkruiper;gewone kortnek;kniptor;koolwants;kleine wespenbok,kever;kriebeldier,op de grond;in de grond,winter;lente;zomer;herfst,euro;huissleutel,zwart,effen,uit segmenten;twee delen;drie delen,glad,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,puntig,loopt; kruipt; vliegt,S; K,Ocypus olens,Stinkende kortschildkever,http://images.ncbnaturalis.nl/80x80/206387.jpg,http://images.ncbnaturalis.nl/280x190/206388.jpg
240,Zuringhaantje,,,groene struiksnuittor;schildpadkever;leliehaantje;lapsnuitkever,kever;kriebeldier,op plant,lente;zomer,mier;pinda,goud;groen;blauw,effen,uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt,Z; H,Chrysolina fastuosa,Zuringhaantje,http://images.ncbnaturalis.nl/80x80/206394.jpg,http://images.ncbnaturalis.nl/280x190/206395.jpg
241,Roodvlekweekkever,,,soldaatje;schijnbok;kniptor;bessenwants,kever;kriebeldier,op plant;op een bloem;in struik;schuilplek,lente;zomer,pinda,groen;rood;zwart,gevlekt;effen,uit segmenten;twee delen;drie delen,glad;met haren; glanzend,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt,B; W,Malachius bipustulatus,Roodvlekweekkever,http://images.ncbnaturalis.nl/80x80/212130.jpg,http://images.ncbnaturalis.nl/280x190/212131.jpg
242,Citroenvlinder,,,groot koolwitje;klein koolwitje;klein geaderd witje;oranjetipje;hagedoornvlinder,vlinder;kriebeldier,op plant;op een bloem;in struik;in de lucht,lente;zomer;herfst,huissleutel,geel; wit; groen; bruin,effen; gevlekt; gestreept,uit segmenten; twee delen; drie delen,naakt; met haren; met schubben,insectenogen,lange sprieten,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit,C;V,Gonepteryx rhamni,Citroenvlinder,http://images.ncbnaturalis.nl/80x80/205785.jpg,http://images.ncbnaturalis.nl/280x190/203323.jpg
243,Landkaartje,,,kleine vos; distelvlinder; kleine vuurvlinder; gehakkelde aurelia; argusvlinder; bont zandoogje,vlinder;kriebeldier,op plant;op een bloem;in struik;in de lucht,voorjaar; zomer,euro;huissleutel,oranje; bruin; zwart; geel; wit,gevlekt; gestreept,uit segmenten; twee delen; drie delen,naakt; met haren; met schubben,insectenogen,lange sprieten,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit,L,Araschnia levana,Landkaartje,http://images.ncbnaturalis.nl/80x80/205783.jpg,http://images.ncbnaturalis.nl/280x190/203323.jpg
244,Argusvlinder,,,bont zandoogje; kleine vuurvlinder; kleine vos; distelvlinder; gehakkelde aurelia; landkaartje,vlinder;kriebeldier,op plant;op een bloem;in struik;in de lucht; op de grond,lente;zomer;herfst,euro;huissleutel,bruin;oranje;geel;zwart,gevlekt; gestreept;gestipt,uit segmenten; twee delen; drie delen,naakt; met haren; met schubben,insectenogen,lange sprieten,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit,A,Lasiommata megera,Argusvlinder,,
245,Koninginnenpage,,,,vlinder;kriebeldier,op plant;op een bloem;in struik;in de lucht,lente; zomer,huissleutel,zwart; geel; blauw; rood,gevlekt; gestreept,uit segmenten; twee delen; drie delen,naakt; met haren; met schubben,insectenogen,lange sprieten,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit,K;P,Papilio machaon,Koninginnenpage,,
246,Oranje zandoogje,,,bont zandoogje; zwartsprietdikkopje; kleine vos; kleine vuurvlinder; bruin zandoogje; Argusvlinder; landkaartje,vlinder;kriebeldier,op plant;op een bloem;in struik;in de lucht;in een boom,zomer,euro; huissleutel,oranje; bruin; zwart,effen; gestreept; gestipt,uit segmenten; twee delen; drie delen,naakt; met haren; met schubben,insectenogen,lange sprieten,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit,O;Z,Pyronia tithonus,Oranje zandoogje,,
247,Koevinkje,,,bruin zandoogje; bont zandoogje,vlinder;kriebeldier,op plant;op een bloem;in struik;in de lucht; op de grond,zomer,euro; huissleutel,zwart; bruin; geel; wit; goud,effen; gestipt,uit segmenten; twee delen; drie delen,naakt; met haren; met schubben,insectenogen,lange sprieten,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit,K,Aphantopus hyperantus,Koevinkje,,
248,Larve lieveheersbeestje,,,eikenprocessierups;,kriebeldier,op plant;in een boom;op een muur; in struik,lente;zomer;herfst,mier;pinda,zwart;grijs;geel;oranje,gevlekt,uit segmenten;lang;dun,glad;naakt,insectenogen,geen,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,geen,puntig,loopt; kruipt; beweegt niet,L; B,Coccinella septempunctata,Larve lieveheersbeestje,,
249,Gewone regenworm,,,lugubere glijer;gewone wegslak;paardenbloedzuiger,worm;kriebeldier,in de grond;op de grond;tussen bladeren;onder steen of hout,winter;lente;zomer;herfst,langgerekt,rood; geel; bruin,effen,lang;dun; uit segmenten,naakt; glad; glibberig,geen ogen zichtbaar,geen,geen zichtbare bek,0,nvt,nvt,eindigt in punt; afgerond,kruipt; graaft; verstopt zich,G; R; W,Lumbricus terrestris,Gewone regenworm,,
250,Tapijtkever,,,zwarte berkenbladroller;brandnetelwants,kever;kriebeldier,binnen,winter;lente;zomer;herfst,mier,bruin;zwart;wit,gevlekt,rond;uit segmenten;twee delen;drie delen,glad,insectenogen,korte sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt,T,Anthrenus verbasci,Tapijtkever,,
251,Soldaatje,,,basterdweekschildkever;schijnbok;kniptor;kleine wespenbok,kever;kriebeldier,op plant;in een boom;op de grond;in struik;in de lucht,lente;zomer;herfst,pinda;euro,zwart;oranje;rood;geel,effen;gevlekt,uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; vliegt; kruipt,S,Cantharis livida,Soldaatje,,
252,Tuinschalebijter,,,gewone kortnek;zandloopkever;bosmestkever;doodgraver,kever;kriebeldier,in de grond;tussen bladeren;op de grond,lente;zomer;herfst,euro;huissleutel,bruin;paars; zwart,effen,uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; rent,T,Carabus nemoralis,Tuinschalebijter,,
253,Gewone kortnek,,,doodgraver;tuinschallebijter;lapsnuittor;bosmestkever,kever;kriebeldier,in de grond;tussen bladeren;op de grond,winter;lente;zomer;herfst,euro,zwart,effen,uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; rent,G; K,Nebria brevicollis,Gewone kortnek,,
254,Zandloopkever,,,tuinschallebijter;soldaatje;kleine wespenboktor;groene rietcicade;schildpadkever;bessenwants,kever;kriebeldier,op de grond,lente;zomer,euro,groen;bruin;geel; paars; zwart,gevlekt,uit segmenten;twee delen;drie delen,glad,insectenogen,lange sprieten,twee kaken,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; rent,Z; K,Cicindela campestris,Zandloopkever,,
255,Schildpadkever,,,glansloopkever;zuringhaantje;groene struiksnuittor;groene stinkwants,kever;kriebeldier,op plant;in een boom;op de grond;in de lucht,winter;lente;zomer;herfst,pinda,groen; bruin,effen,rond;uit segmenten;twee delen;drie delen,glad,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt,S; K,Cassida viridis,Schildpadkever,,
256,Coloradokever,,,Veelkleurig Aziatisch lieveheersbeestje;rozenkevertje;meikever;soldaatje,kever;kriebeldier,op plant;op de grond;in een boom,lente;zomer,pinda,zwart;rood;oranje;geel;bruin,gestreept,rond;uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt,C,Leptinotarsa decemlineata,Coloradokever,,
257,Kleine wespenboktor,,,Coloradokever;zandloopkever;citroenlieveheersbeestje;gewone wesp;pendelvlieg;honingbij,kever;kriebeldier,op plant;in een boom;tussen bladeren;op de grond;in struik,lente;zomer,euro,zwart;geel;bruin,gestreept;gevlekt,uit segmenten;twee delen;drie delen,glad,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt,K; W; B,Clytus arietis,Kleine wespenboktor,,
258,Berkensigarenmaker,,,lapsnuittor;zuringhaantje; groene struiksnuittor,kever;kriebeldier,op plant;in een boom;in struik,lente;zomer,mier;pinda,zwart,effen,uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,korte sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; verstopt zich,Z; B,Deporaus betulae,Berkensigarenmaker,,
259,Schijnboktor,,,graswants;kleine wespenbok;soldaatje;groene struiksnuittor,kever;kriebeldier,op plant;op een bloem,lente;zomer,pinda,groen; zwart,effen,uit segmenten;twee delen;drie delen,glad;glanzend,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt; vliegt,S; B,Oedemera lurida,Schijnboktor,,
260,Groene struiksnuittor,,,lapsnuittor;zwarte berkenroller;basterdweekschildkever;zuringhaantje,kever;kriebeldier,op plant;op een muur;in struik;in de lucht,lente;zomer,mier;pinda,groen; bruin,effen; gestreept,uit segmenten;twee delen;drie delen,glad,insectenogen,lange sprieten,twee kaken;geen zichtbare bek,6,met haakjes;lang en dun,schilden;doorzichtige vleugels;geen,afgerond,loopt; kruipt,G; S,Polydrusus sericeus,Groene struiksnuittor,,
261,Tjiftjaf,,,fitis; zwartkop,vogel,in struik of boom,lente;zomer;herfst;winter,muis,groen; grijs; bruin; beige; geel ; wit,effen,bolletje; dun,met veren,geen pupil,niks,snavel kort; snavel dun,2,met nagels,met veren; gekleurd,staart kort,zit stil; geluid; vliegt; springt,T,Phylloscopus collybita,Tjiftjaf,,
262,Fitis,,,tjiftjaf; zwartkop,vogel,in struik of boom,lente; zomer,muis,groen; grijs; bruin; beige; geel ;wit,effen,bolletje; dun,met veren,geen pupil,niks,snavel kort; snavel dun,2,met nagels,met veren; gekleurd,staart kort,zit stil; geluid; vliegt; springt,F,Phylloscopus trochilus,Fitis,,
263,Goudhaan,,,pimpelmees; winterkoning,vogel,in struik of boom,lente;zomer;herfst;winter,muis,zwart; groen; grijs; bruin; geel; oranje; wit,egaal; gevlekt,bolletje,met veren,geen pupil,niks,snavel kort; snavel dun,2,met nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; vliegt; springt; hangt,G,Regulus regulus,Goudhaan,,
264,Egel,,,,zoogdier,op de grond;in struik,winter;lente;zomer;herfst,merel;duif,bruin; wit; zwart; grijs,effen,dik; rond; bolletje,met haren,ogen zonder pupil,geen,tanden; snuit,4,behaard;nagels,geen,afgerond; staart kort,loopt; kruipt; rolt zich op; schuilt; geluid,E,Erinaceus europaeus,Egel,http://images.ncbnaturalis.nl/80x80/212097.jpg,
265,Gewone dwergvleermuis,,,laatvlieger,zoogdier; vogel,in de lucht; binnen; tegen muur,lente;zomer;herfst,muis,bruin; zwart; oranje,effen,bolletje; lang,met haren; naakt,ogen zonder pupil,geen,tanden; mond,4; 2,behaard;nagels,met huid,afgerond; staart kort; puntig,vliegt;hangt; geluid,G; D; V,Pipistrellus pipistrellus,Gewone dwergvleermuis,http://images.ncbnaturalis.nl/80x80/212099.jpg,
266,Laatvlieger,,,gewone dwergvleermuis,zoogdier; vogel,in de lucht; binnen; tegen muur,lente;zomer;herfst,merel,bruin; zwart,effen,bolletje; lang,met haren; naakt,ogen zonder pupil,geen,tanden; mond,4; 2,behaard;nagels,met huid,afgerond; staart kort; puntig,vliegt;hangt; geluid,L; V,Eptesicus serotinus,Laatvlieger,http://images.ncbnaturalis.nl/80x80/212101.jpg,
267,Gevlekte akkerslak,,,gewone wegslak;grote aardslak,slak of schelp;worm,in de grond;tussen bladeren;op een muur;op de grond;onder steen of hout,winter;lente;zomer;herfst,huissleutel,wit;geel;bruin;zwart;grijs,effen;gevlekt; gestreept,lang,naakt;glibberig,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; beweegt niet,G; A,Deroceras reticulatum,Gevlekte akkerslak,http://images.ncbnaturalis.nl/80x80/215315.jpg,
268,Agaathoren,,,barnsteenslak; grote clausilia; ,slak of schelp,in de grond;tussen bladeren;op de grond;schuilplek,winter;lente;zomer;herfst,mier; pinda,grijs; geel; bruin; zwart; doorzichtig,effen,met huisje; lang,glad;glibberig; glanzend,ogen op steeltjes,lange sprieten;korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond;puntig,kruipt; beweegt niet,A,Cochlicopa sp.,Agaathoren,http://images.ncbnaturalis.nl/80x80/215299.jpg,
269,Boerenknoopje,,,gewone haarslak;schorshoren;draaikolkschijfhoorn,slak of schelp,in de grond;tussen bladeren;op de grond;schuilplek,winter;lente;zomer;herfst,mier;pinda,grijs;bruin,effen;gevlekt; gestreept,rond;met huisje,glad;glibberig,ogen op steeltjes,korte sprieten,geen zichtbare bek;mond,0,geen,geen,afgerond,kruipt; beweegt niet,B,Discus rotundatus,Boerenknoopje,http://images.ncbnaturalis.nl/80x80/215301.jpg,
